Year,Month,Title,Place
2020,May,Exploring isotopic niches in Rocky Mountain Great Plains stream fish,"Department of Zoology and Physiology, University of Wyoming"
2022,Mar,Coldwater fish in a changing world: Actionable ecology for management and policy,"Department of Ecology, Montana State University"
2023,Dec,Freshwater science in a changing world: fisheries research for conservation and management,"School of Freshwater Science, UW-Milwaukee"
2025,Feb,"Freshwater science for tomorrow: advancing fish ecology, conservation, and management","Wildlife Biology Program, University of Montana"
2026,Feb,Stream fish ecology and conservation under environmental change,"Department of Fish, Wildlife, and Conservation Biology, Colorado State University"
2026,Mar,From co-production to decision support: Using ecological science to inform fisheries management,"Cornell Biological Field Station, Natural Resources and the Environment, Cornell University"
